SKU,Price_US,Price_TW,PRODUCT_NAME
MN893,149.0,4990.0,Apple TV 4K Wi‑Fi + Ethernet with 128GB storage
MN873,129.0,4490.0,Apple TV 4K Wi‑Fi with 64GB storage
MDEW4,299.0,9300.0,HomePod
MJ2C3,99.0,3000.0,HomePod mini
